,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,Winner
49,2,0,4,5,6,0,3,2,1,1,0,1,1,1,4,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,-3,-2,1
50,2,0,4,5,6,0,3,2,1,1,0,1,1,1,4,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,0,-3,0,0,-3,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,0,-2,1
51,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,0,-3,0,0,-3,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,0,-2,1
52,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,-1,0,0,0,0,-1,-3,0,0,-3,0,0,-1,0,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,0,-2,1
53,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,3,0,0,0,0,-1,-3,0,0,-3,0,0,-1,0,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,0,-2,1
54,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,3,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
55,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
56,2,0,4,5,6,0,0,2,1,1,0,1,1,1,4,1,0,0,3,3,0,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
57,2,0,4,5,0,2,6,0,1,1,0,1,1,1,4,1,0,0,3,3,0,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
58,2,0,4,5,0,2,6,0,1,1,0,1,1,1,4,1,0,0,-4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
59,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-6,0,0,-2,1
60,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,0,-2,-6,0,1
61,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,0,-2,-6,0,1
62,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
63,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,-3,0,0,-1,-4,-1,-1,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
64,2,0,4,5,0,2,6,0,1,1,0,0,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,0,0,-3,0,0,-1,0,-1,-1,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
65,2,0,4,5,0,2,6,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,0,-3,0,0,-1,0,-1,-1,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
66,2,0,4,5,0,2,6,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-3,0,0,-1,0,-1,0,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
67,2,0,0,5,0,2,6,0,1,1,0,0,1,1,0,1,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-3,0,0,-1,0,-1,0,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
68,2,0,0,5,0,2,6,0,1,1,0,0,1,1,0,1,0,0,1,0,4,0,1,0,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-2,0,0,-5,-2,0,-6,0,1
